--------- beginning of system
02-09 00:13:08.926  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333145, event=other, flags=0x0, uid=1000
02-09 00:13:08.932  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333151, event=other, flags=0x0, uid=1000
02-09 00:13:08.943  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333162, event=other, flags=0x0, uid=1000
02-09 00:13:08.949  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333168, event=other, flags=0x0, uid=1000
02-09 00:13:08.959  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333178, event=other, flags=0x0, uid=1000
02-09 00:13:08.971  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333190, event=other, flags=0x0, uid=1000
02-09 00:13:08.976  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333195, event=other, flags=0x0, uid=1000
02-09 00:13:08.978  2668  2854 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333195, event=touch, flags=0x0, uid=1000
02-09 00:13:08.988  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333206, event=other, flags=0x0, uid=1000
02-09 00:13:08.993  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333212, event=other, flags=0x0, uid=1000
02-09 00:13:09.004  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333223, event=other, flags=0x0, uid=1000
02-09 00:13:09.010  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333228, event=other, flags=0x0, uid=1000
02-09 00:13:09.021  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333240, event=other, flags=0x0, uid=1000
02-09 00:13:09.026  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333245, event=other, flags=0x0, uid=1000
02-09 00:13:09.038  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333257, event=other, flags=0x0, uid=1000
02-09 00:13:09.043  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333262, event=other, flags=0x0, uid=1000
02-09 00:13:09.050  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333268, event=other, flags=0x0, uid=1000
02-09 00:13:09.060  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333279, event=other, flags=0x0, uid=1000
02-09 00:13:09.071  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333290, event=other, flags=0x0, uid=1000
02-09 00:13:09.077  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333295, event=other, flags=0x0, uid=1000
02-09 00:13:09.078  2668  2854 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333295, event=touch, flags=0x0, uid=1000
02-09 00:13:09.082  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333301, event=other, flags=0x0, uid=1000
02-09 00:13:09.099  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333318, event=other, flags=0x0, uid=1000
02-09 00:13:09.104  2668  2668 D PowerManagerService: userActivityNoUpdateLocked: groupId=0, eventTime=236333323, event=other, flags=0x0, uid=1000
